Link,Status,Arquivo
https://drive.google.com/open?id=1Ke3IlyxjtAddBMclIQBzo00VmlOqGVEP,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1Fr0Fwa6FbRuCvEa3c1QkyfJ9qOugXcO6,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1lOUCuhdZ-9LLGAj97p2ZTalDpKlIB44X,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1IlCEcdZLfaGGdddNS-io45CAzo2cLJhc,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1Mmr-XSfnWNWrdRPeWjj44rq2ABxSkxRx,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=18BDp6Q-AjJmivSUJuMewE6aqN2zaylv3,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1tt9p3-dbj27p1hUOXE7cN7RQLqdvB8oS,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=16vr5F5DVR-FOReWy38Zd2iXxXC98nHPR,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=148LAwshJonBzb6DzRWKjYPCL8NDZfPyt,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1h55aUIyicQCBmPJYNiuARkUSzpGxpZL8,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1zSAr7zS40rvvHGeNj10gwl-vyy1LglMD,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1AYnalBbxPt1OenJs21_P5LTGWdxHsEx-,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1zmLqAb3GIMVNlgca2Cxu-JwqSX47S72X,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1fXxFGBeyVb4uTkmpkEHgL4Ysa9dg-5dY,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1Cc7fUqxLDRREd_4b_v_EUIA0Vm80EEnt,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=10jC7SauPd0Is-RDUB3hVPf8axA3nI4lm,ERRO,download() got an unexpected keyword argument 'fuzzy'
